User ID,Quiz Result ID,Taken On,Score,Question 1 Body,Question 1 Answer,Question 1 Correct
770,16345,2021-03-31 19:35:17 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
771,16493,2021-04-02 19:14:41 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
772,16686,2021-04-09 16:52:00 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
773,16732,2021-04-10 00:42:46 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
776,16979,2021-04-16 21:12:24 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
784,17151,2021-04-26 23:29:54 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
779,17173,2021-04-27 01:45:44 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
784,17198,2021-04-27 16:54:15 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
780,17220,2021-04-28 18:25:38 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
787,17244,2021-04-28 20:44:16 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
790,17268,2021-04-28 21:29:49 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
786,17290,2021-04-29 19:22:42 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
789,17332,2021-04-30 19:29:37 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
781,17354,2021-05-01 19:30:51 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
783,17376,2021-05-02 21:29:37 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
793,17398,2021-05-05 18:34:53 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
800,17420,2021-05-06 00:38:01 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
795,17442,2021-05-06 17:29:27 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
799,17463,2021-05-07 22:52:38 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
802,17486,2021-05-09 15:20:07 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
803,17510,2021-05-10 16:23:20 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
804,17534,2021-05-11 01:26:20 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
796,17558,2021-05-11 21:27:35 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
807,17588,2021-05-13 19:29:47 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
808,17612,2021-05-14 16:11:26 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
809,17634,2021-05-14 22:55:37 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
811,17656,2021-05-17 16:40:05 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
794,17678,2021-05-20 23:22:10 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
797,17700,2021-05-21 16:24:25 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
816,17722,2021-05-21 21:10:36 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
810,17744,2021-05-22 17:56:45 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
812,17766,2021-05-24 20:25:35 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
817,17788,2021-05-26 15:24:32 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
814,17810,2021-05-27 16:35:54 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
820,17876,2021-05-28 23:50:21 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
820,17879,2021-05-28 23:51:00 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
820,17884,2021-05-28 23:52:03 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
821,17906,2021-05-29 16:33:48 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
822,17928,2021-06-03 17:53:46 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
823,17950,2021-06-05 01:27:38 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
825,17972,2021-06-05 22:24:57 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
826,17994,2021-06-07 16:23:56 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
828,18017,2021-06-15 15:25:39 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
828,18019,2021-06-15 15:25:51 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
813,18041,2021-06-15 18:22:54 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
829,18063,2021-06-15 19:25:52 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
830,18085,2021-06-21 19:22:03 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
808,18107,2021-07-01 15:20:50 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
832,18129,2021-07-01 18:24:50 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
834,18152,2021-07-17 00:27:40 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
834,18155,2021-07-17 00:28:15 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
833,18177,2021-07-19 19:54:48 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
837,18202,2021-09-14 22:07:38 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
838,18228,2021-09-15 20:30:23 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
