User ID,Quiz Result ID,Taken On,Score,Question 1 Body,Question 1 Answer,Question 1 Correct
770,16335,2021-03-31 19:32:51 UTC,0.0,What is the name of yellow circled component?,Common Circuit,no
771,16483,2021-04-02 19:12:22 UTC,0.0,What is the name of yellow circled component?,"",no
772,16676,2021-04-09 16:49:19 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
773,16722,2021-04-10 00:40:04 UTC,0.0,What is the name of yellow circled component?,cathose ray tube,no
776,16967,2021-04-16 21:10:35 UTC,0.0,What is the name of yellow circled component?,... tube,no
784,17141,2021-04-26 23:25:47 UTC,0.0,What is the name of yellow circled component?,"",no
779,17163,2021-04-27 01:43:04 UTC,0.0,What is the name of yellow circled component?,"",no
784,17188,2021-04-27 16:49:46 UTC,1.0,What is the name of yellow circled component?,cathode ray tube,yes
780,17210,2021-04-28 18:23:06 UTC,0.0,What is the name of yellow circled component?,transmitter,no
787,17234,2021-04-28 20:40:52 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
790,17258,2021-04-28 21:25:03 UTC,0.0,What is the name of yellow circled component?,Video Projector,no
786,17280,2021-04-29 19:20:50 UTC,0.0,What is the name of yellow circled component?,"",no
789,17322,2021-04-30 19:25:27 UTC,0.0,What is the name of yellow circled component?,CRT,no
781,17344,2021-05-01 19:27:17 UTC,0.0,What is the name of yellow circled component?,Cathode Ray Tube (CRT),no
783,17366,2021-05-02 21:26:10 UTC,1.0,What is the name of yellow circled component?,Cathode ray tube,yes
793,17388,2021-05-05 18:30:45 UTC,1.0,What is the name of yellow circled component?,Cathode Ray tube,yes
800,17410,2021-05-06 00:34:33 UTC,0.0,What is the name of yellow circled component?,CRT,no
795,17432,2021-05-06 17:25:10 UTC,0.0,What is the name of yellow circled component?,CRT,no
799,17453,2021-05-07 22:48:33 UTC,0.0,What is the name of yellow circled component?,Cathod Ray Tube CRT,no
802,17476,2021-05-09 15:14:51 UTC,0.0,What is the name of yellow circled component?,"",no
803,17498,2021-05-10 16:17:52 UTC,0.0,What is the name of yellow circled component?,"",no
804,17522,2021-05-11 01:23:35 UTC,1.0,What is the name of yellow circled component?,cathode ray tube,yes
796,17548,2021-05-11 21:24:44 UTC,0.0,What is the name of yellow circled component?,Cathode tube,no
807,17574,2021-05-13 19:23:35 UTC,0.0,What is the name of yellow circled component?,Color Ray ___,no
808,17602,2021-05-14 16:08:05 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
809,17624,2021-05-14 22:53:32 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
811,17646,2021-05-17 16:31:10 UTC,0.0,What is the name of yellow circled component?,CRT,no
794,17668,2021-05-20 23:19:39 UTC,1.0,What is the name of yellow circled component?,Cathode Ray tube,yes
797,17690,2021-05-21 16:22:06 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
816,17712,2021-05-21 20:59:56 UTC,0.0,What is the name of yellow circled component?,Cathod Ray Tube,no
810,17734,2021-05-22 17:53:50 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
812,17756,2021-05-24 20:22:14 UTC,0.0,What is the name of yellow circled component?,Cathode,no
817,17778,2021-05-26 15:21:44 UTC,0.0,What is the name of yellow circled component?,"",no
814,17800,2021-05-27 16:32:39 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
820,17866,2021-05-28 23:44:29 UTC,0.0,What is the name of yellow circled component?,"",no
821,17896,2021-05-29 16:30:33 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
822,17918,2021-06-03 17:50:08 UTC,0.0,What is the name of yellow circled component?,Cathode Ray Transmitter,no
823,17940,2021-06-05 01:25:19 UTC,0.0,What is the name of yellow circled component?,"",no
825,17962,2021-06-05 22:22:53 UTC,0.0,What is the name of yellow circled component?,Ray,no
826,17984,2021-06-07 16:19:58 UTC,0.0,What is the name of yellow circled component?,CRT,no
828,18007,2021-06-15 15:23:05 UTC,0.0,What is the name of yellow circled component?,N/A,no
813,18031,2021-06-15 18:17:59 UTC,0.0,What is the name of yellow circled component?,Cathode Tube,no
829,18053,2021-06-15 19:22:37 UTC,0.0,What is the name of yellow circled component?,CRT,no
830,18075,2021-06-21 19:18:22 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
808,18097,2021-07-01 15:16:34 UTC,0.0,What is the name of yellow circled component?,Alternator,no
832,18119,2021-07-01 18:23:25 UTC,0.0,What is the name of yellow circled component?,gate generator,no
834,18142,2021-07-17 00:22:56 UTC,1.0,What is the name of yellow circled component?,Cathode Ray tube,yes
833,18167,2021-07-19 19:51:40 UTC,0.0,What is the name of yellow circled component?,Cathod Ray Tube,no
837,18190,2021-09-14 22:03:47 UTC,0.0,What is the name of yellow circled component?,Generator,no
838,18216,2021-09-15 20:26:30 UTC,0.0,What is the name of yellow circled component?,Cathrobe Control,no
839,18248,2021-10-07 17:31:26 UTC,0.0,What is the name of yellow circled component?,CRT,no
852,18270,2021-10-15 01:38:37 UTC,1.0,What is the name of yellow circled component?,Cathode Ray Tube,yes
853,18292,2021-10-15 17:41:36 UTC,0.0,What is the name of yellow circled component?,Duplex,no
869,20135,2022-04-05 21:20:03 UTC,0.0,What is the name of yellow circled component?,sdfg,no
